name,image,url,description,meta_description,meta_keyword
"MALCO","https://www.vermontsales.co.za/image/data/manufacturers/MALCO_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=525","<div class='manuf_desc_box'>
	<p>
	<img alt='Malco Products, Inc.' src='https://www.vermontsales.co.za/images/brands/malco_logo.png' style='float: right; margin-left: 13px' />The 
	<strong>Malco Products, Inc.</strong> is the American Nation’s leading manufacturer of 'tools 
	of the trade' for <strong>HVAC </strong>(Heating, Ventilating and Air Conditioning) professionals. 
	In 1975 Malco also created a vital specialty tool market for EXTERIOR REMODELING 
	professionals (Installers of Roofing, Siding and Gutter) and holds the leadership 
	position in that niche as well.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='https://malcoproducts.com' target='_blank'>Company 
			website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://malcoproducts.com/catalogs/' target='_blank'>
			Catalogue Download</a></td>
		</tr>
	</table>
</div>
","Malco Products believes in top-quality products that work hard, enhance performance, 
	and stand up to years of real-world use on the job. Malco believes in American-made 
	tools that Work. Perform.&nbsp;<em>Outlast</em>. Today Malco Pro","MALCO, sheet metal cutting, roofing"
"MAUN","https://www.vermontsales.co.za/image/data/manufacturers/MAUN_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=199","<div class='manuf_desc_box'>
	<p>
	<img height='128' src='https://www.vermontsales.co.za/images/brands/maun_logo.png' style='float: left; margin-right: 12px; margin-bottom: 10px;' width='211' />Maun 
	Industries Ltd. Manufacturers of Engineers and Handtools. In business since 
	1944 and manufactured in the UK, MAUN host a range of parallel action pliers, 
	diagonal and end cutting nippers, cable cutters, revolving punches, wad punches, 
	leatherworking tools, crimping tools, straight edges and many more.</p>
		<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.maun-industries.co.uk/' target='_blank'>Company website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0BxnzLp2IvSY_NmdBeXRVTHVQeFE' target='_blank'>Catalogue Download</a></td>
		</tr>
	</table>
</div>
","Maun Industries Ltd. Manufacturers of Engineers and Handtools. In business since 1944 and manufactured in the UK, MAUN host a range of parallel action pliers, diagonal and end cutting nippers, cable cutters, revolving punches, wad punches, leatherworking ","MAUN,engineers tools,pliers,nippers,"
"MICROJIG","https://www.vermontsales.co.za/image/data/manufacturers/MICROJIG_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=512","<div class='manuf_desc_box'>
	<p>
	<img src='https://www.vermontsales.co.za/images/microjig/microjig_logo_web.png' style='float: left;margin-right:15px' />
	Microjig is the must-have product range in every workshop. Safety first! Safely and 
	accurately cut workpieces with specially designed jigs for the table saw, bandsaw, router and planer.</p>
	<div style='float: right'>
		<a class='button' href='https://www.microjig.com/' target='_blank'>
		<span>»» Website</span></a></div>
	<p>&nbsp;</p></div>
","Microjig is the must-have product range in every workshop. Safety first! Safely and 
	accurately cut workpieces with specially designed jigs for the table saw, bandsaw, router and planer.","MICROJIG"
"MILES","https://www.vermontsales.co.za/image/data/manufacturers/MILES_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=522","MILES","MILES","MILES"
"MPS","https://www.vermontsales.co.za/image/data/manufacturers/MPS_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=201","<div class='manuf_desc_box'>
	<p>
	<img height='65' src='https://www.vermontsales.co.za/images/brands/mps_logo.png' style='float: left; margin-right: 13px; margin-top: 23px; margin-bottom: 67px;' width='211' />MPS 
	is a German manufacturer of top class quality blades. MPS, being one of the 
	largest manufacturers in the jigsaw and sabre saw sector, have a large selection 
	of various saws for all applications. MPS also offer a large assortment of hole 
	and circular saws for almost any field of application. Hand saw blades made 
	of carbon steel, HSS or bimetal fill out the product line.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.mps-saegen.com/eng_thecompanymps.php' target='_blank'>Company website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0BxnzLp2IvSY_T1R0Vk5fREtVa0k' target='_blank'>Catalogue Download</a></td>
		</tr>
	</table>
</div>
","MPS is a German manufacturer of top class quality blades. MPS, being one of the largest manufacturers in the jigsaw and sabre saw sector, have a large selection of various saws for all applications. MPS also offer a large assortment of hole and circular s","MPS,jigsaw blades,jig saw blades,sabre saw blades,saber saw blades,"
"MULTI-SHARP","https://www.vermontsales.co.za/image/data/manufacturers/MULTI-SHARP_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=375","MULTI-SHARP","MULTI-SHARP","MULTI-SHARP"
"OLFA","https://www.vermontsales.co.za/image/data/manufacturers/OLFA_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=184","<div class='manuf_desc_box'>
	<p>
	<img class='img-responsive' src='https://www.vermontsales.co.za/images/brands/olfa_logo.png' style='float: left; margin-right: 15px; margin-bottom: 8px; margin-top: 17px;'  />In 
	1956 Mr. Y Okada, the founder of OLFA CORPORATION, invented the world's first 
	SNAP-OFF BLADE CUTTER. The inspiration for this incredible idea came from breaking 
	off segments of chocolate bars and analyzing the snap edges of broken glass. 
	This unique invention has since become a worldwide best seller and is commonly 
	referred to as an OLFA CUTTER. The length, width and angle of the blade, established 
	by Mr. Y Okada, has become the worldwide standard for the snap-off blade.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.vermontsales.co.za/od/olfadidyouknow.html' target='_blank'>
			OLFA Knowledge Base</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0BxnzLp2IvSY_TGpMY2dmNHF3VkU' target='_blank'>Catalogue Download</a></td>
		</tr>
	</table>
</div>
","In 1956 Mr. Y Okada, the founder of OLFA CORPORATION, invented the world's first SNAP-OFF BLADE CUTTER. The inspiration for this incredible idea came from breaking off segments of chocolate bars and analyzing the snap edges of broken glass. This unique in","OLFA,cutter,nt cutter,scalpel,scissors,segmented blades, snap-off blades, circles cutters,"
"OLSON","https://www.vermontsales.co.za/image/data/manufacturers/OLSON_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=458","OLSON","OLSON","OLSON"
"PG","https://www.vermontsales.co.za/image/data/manufacturers/PG_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=436","PG","PG","PG"
"PICA","https://www.vermontsales.co.za/image/data/manufacturers/PICA_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=508","PICA","PICA","PICA"
"PINNACLE","https://www.vermontsales.co.za/image/data/manufacturers/PINNACLE_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=226","<div class='manuf_desc_box'>
<p><img alt='Pinnacle' src='https://www.vermontsales.co.za/images/brands/pinnacle_logo.png' /></p>
</div>","PINNACLE","PINNACLE"
"PLUGFONES","https://www.vermontsales.co.za/image/data/manufacturers/PLUGFONES_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=526","PLUGFONES","PLUGFONES","PLUGFONES"
"PONY","https://www.vermontsales.co.za/image/data/manufacturers/PONY_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=440","PONY","PONY","PONY"
"PRO-TECH","https://www.vermontsales.co.za/image/data/manufacturers/PRO-TECH_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=195","<div class='manuf_desc_box'>
	<p>
	<img alt='Pro-Tech' height='95' src='https://www.vermontsales.co.za/images/brands/protech_brand_logo.png' style='float: left; margin-right: 15px; margin-bottom: 13px;' width='236' /> 
	Pro-Tech Router Bits are known by Woodworkers in the professional and Do-it-Yourself 
	trade for almost 30 years.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.kprouterbits.com/' target='_blank'>Company website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0BxnzLp2IvSY_b2lZanZUZWFwbkk' target='_blank'>Catalogue Download</a></td>
		</tr>
	</table>
</div>
","Pro-Tech Router Bits are known by Woodworkers in the professional and Do-it-Yourself trade for almost 30 years. Not only are our router bits and spindle moulder (shaper) cutters affordable, they are also excellent quality supported by an extreme range of ","PRO-TECH,router bits,routerbits,spindle cutters,spindle moulder cutters,"
"QUICKDRAW","https://www.vermontsales.co.za/image/data/manufacturers/QUICKDRAW_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=533","QUICKDRAW","QUICKDRAW","QUICKDRAW"
"RAWLPLUG","https://www.vermontsales.co.za/image/data/manufacturers/RAWLPLUG_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=378","<div class='manuf_desc_box'>

	<p>
	<img src='https://www.vermontsales.co.za/images/brands/rawlplug_logo.svg' style='float: right; margin-left: 10px;margin-top:-27px;margin-bottom:-34px' width='200px' />
	Rawlplug is one of the world's leading manufacturers of specialist anchoring and 
	fixing systems, with distribution on every continent. For nearly a century since 
	our foundation in 1919, the Rawlplug® brand has been synonymous with innovation, 
	reliability and safety in the development and manufacture of construction anchors 
	and fixing products.
 </p>
</div>","RAWLPLUG","RAWLPLUG"
"REAL STEEL","https://www.vermontsales.co.za/image/data/manufacturers/REAL STEEL_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=523","REAL STEEL","REAL STEEL","REAL STEEL"
"RITE IN RAIN","https://www.vermontsales.co.za/image/data/manufacturers/RITE IN RAIN_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=517","RITE IN RAIN","RITE IN RAIN","RITE IN RAIN"
"ROCKLER","https://www.vermontsales.co.za/image/data/manufacturers/ROCKLER_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=511","ROCKLER","ROCKLER","ROCKLER"
"SALLY-T","https://www.vermontsales.co.za/image/data/manufacturers/SALLY-T_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=527","<div class='manuf_desc_box'>
	<p>
	<img class='img-responsive pull-right' src='https://www.vermontsales.co.za/images/sally-t/sally-t_logo_products.png' style='margin-left: 20px; margin-bottom: 40px' />Sally-T 
	believes that the best results are achieved when we realize that there are certain 
	basic, physiological and biochemical factors which are relevant to all of us, 
	but that for the best results, when seeking optimum health, food combinations 
	and supplement dosages need to be tailored to our individual problems and biochemistry.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='https://www.sallyt.co.za/' target='_blank'>Company 
			website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/file/d/1IrMfBuvW301-z1ARFBPIhTBqsGIq03oy/view?usp=sharing' target='_blank'>Download Catalogue</a></td>
			<td style='text-align: center'>
			<a class='button' href='index.php?route=information/information&information_id=74' target='_blank'>View Leaflet</a></td>
		</tr>
	</table>
</div>
","SALLY-T","SALLY-T"
"SAMEDIA","https://www.vermontsales.co.za/image/data/manufacturers/SAMEDIA_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=509","<div class='manuf_desc_box'>
	<p>
	<img alt='Action Can' src='../images/samedia/samedia_logo_web.png' style='float: right; margin-left: 15px' />Founded 
	in 1961, SAMEDIA is one of the world’s leading manufacturers of professional 
	diamond tools, with a capacity of more than 1 million tools a year,</p>
	<p>SAMEDIA owns 2 factories in Germany and France. Our German factory is one 
	of the largest production centers in the world, with high quality and automated 
	processes. The majority of the laser-welded diamond cutting blades, grinding cup wheels 
	and diamond core bits are produced in Germany.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='https://www.samedia.com/' target='_blank'>Company 
			website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/file/d/1DB41c0d3mwSWgq0sCDIRN9fCKgzLooye/view?usp=sharing' target='_blank'>
			Catalogue Download</a></td>
		</tr>
	</table>
</div>
","SAMEDIA is a member of the JFC DIAMOND TOOLS. The corporate network’s production sites are distributed across central Europe. We are mainly focused and concentrated to the production of diamond tools in Germany (1), France (2) and Belgium (3). Since 2016 ","SAMEDIA, diamond blades, cement cutting, concrete cutting, steel cutting"
"SAWSTOP","https://www.vermontsales.co.za/image/data/manufacturers/SAWSTOP_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=356","<div class='manuf_desc_box'>
<p>
<img alt='SawStop' height='68' src='../images/brands/sawstop_logo_sm.png' style='float: right; margin-left: 13px' width='106' />SawStop 
is the world's safest table saw. Since 2005, the SawStop Table Saw has saved thousands 
of operators from serious injury. Each precision-crafted saw features the SawStop’s 
award-winning, patented braking system that stops the blade within five milliseconds 
of a detected contact between the blade and skin. Preventing serious injuries.</p>
<table style='width: 100%'>
	<tr>
		<td><a class='button' href='http://www.sawstop.com/' target='_blank'>SawStop 
		Website</a></td>
		<td>
		<a class='button' href='http://www.sawstop.com/table-saws/by-model/industrial-cabinet-saw' target='_blank'>
		Build Your Saw</a></td>
		<td>
		<a class='button' href='https://drive.google.com/open?id=0B5R67v3yi2j5S0NiMy1FeTU5dzg' target='_blank'>
		Catalogue</a></td>
		<td>
		<a class='button' href='https://drive.google.com/open?id=0B5R67v3yi2j5WVAyYXpOc3VlX0U' target='_blank'>
		Getting Started</a></td>
	</tr>
</table>
</div>","SawStop is the world's safest table saw. Since 2005, the SawStop Table Saw has saved thousands of operators from serious injury.","SAWSTOP,table saw,tafelsaag"
"SCHRODER","https://www.vermontsales.co.za/image/data/manufacturers/SCHRODER_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=215","<div class='manuf_desc_box'>
	<p>
	<img alt='Shroeder Germany' height='90' src='https://www.vermontsales.co.za/images/brands/schroder_logo2.png' style='float: left; margin-right: 18px; margin-bottom: 14px;' width='133' /> 
	Schr&ouml;der Germany manufactures high quality screwdriver bits for cordless 
	drills and other hand tools. Considered one of the best brands worldwide.
	</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.robert-schroeder.de/' target='_blank'>
			Company website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0BxnzLp2IvSY_TlBuM3ctWjcyZE0' target='_blank'>
			Catalogue Download</a></td>
		</tr>
	</table>
</div>
","Schröder Germany manufactures high quality screwdrive bits for cordless drill and other hand tools. Considered one of the best brands worldwide","SCHRODER,schroeder,screwdrive bits,torx,pozidriv,phillps drive,"
"SOUBER TOOLS","https://www.vermontsales.co.za/image/data/manufacturers/SOUBER TOOLS_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=218","<div class='manuf_desc_box'>
	<p>
	<img alt='Sauber Tools' height='71' src='https://www.vermontsales.co.za/images/brands/saubertools_logo.png' style='float: left; margin-right: 15px' width='210' />
	<img height='130' src='https://www.vermontsales.co.za/images/soubertools/soubertools_branding.png' style='float: right' width='254' /></p>
	<p>&nbsp;</p>
	<p>Souber Tools was first established in 1990 by the founder, and present director, 
	Paul Souber. He had worked for Chubb Locks for 13 years and he brought his extensive 
	engineering skill to this new venture which he devoted entirely to the needs 
	of professional locksmiths and builders.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.soubertools.co.uk/' target='_blank'>
			Company website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0BxnzLp2IvSY_NHRVRDVaUmhBd3M' target='_blank'>
			Catalogue Download</a></td>
		</tr>
	</table>
</div>
","Souber Tools was first established in 1990 by the founder, and present director, Paul Souber. He had worked for Chubb Locks for 13 years and he brought his extensive engineering skill to this new venture which he devoted entirely to the needs of professio","SOUBER TOOLS,lock mortiser,lock morticer,"
"STAYER","https://www.vermontsales.co.za/image/data/manufacturers/STAYER_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=289","<div class='manuf_desc_box'>
<p>
<img alt='Stayer ' height='56' src='https://www.vermontsales.co.za/images/brands/stayer_logo.png' width='264' /></p>
</div>","STAYER","STAYER"
"STRIPLOX","https://www.vermontsales.co.za/image/data/manufacturers/STRIPLOX_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=535","<div class='manuf_desc_box'>
	<p>
	<img alt='Sauber Tools' class='img-responsive pull-right' src='https://www.vermontsales.co.za/images/brands/striplox_logo.png' style='margin-right: 15px; margin-left:15px' /> 
	The award winning Striplox range is simple to use, strong and secure, making 
	every unique joining and hanging application perfect.</p>
	<p>Striplox is used on solid timber, MDF, composite panels, aluminium features, 
	balsa wood and more. Striplox is revolutionizing the hardware, design and cabinetry 
	industries worldwide.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.joinlox.com/product/striplox/' target='_blank'>
			Company website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=1atkF6HIcZdoLBACue5CT3N_3JU8Znh34' target='_blank'>
			Catalogue Download</a></td>
		</tr>
	</table>
</div>
","The award winning Striplox range is simple to use, strong and secure, making every unique joining and hanging application perfect.
","STRIPLOX"
"TORK CRAFT","https://www.vermontsales.co.za/image/data/manufacturers/TORK CRAFT_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=173","<div class='manuf_desc_box'>
	<p>
	<img height='58' src='https://www.vermontsales.co.za/images/brands/torkcraft_logo.png' style='float: left; margin-right: 15px; margin-bottom: 21px;' width='211' />Tork 
	Craft is our main house brand. Complimenting the whole tool industry with an 
	extensive range of accessories to simply make your work easier and make the 
	world go round. We focus on expanding the brand and we receive almost monthly 
	new lines and fresh solutions for the workplace.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.torkcraft.com' target='_blank'>Company 
			website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://www.torkcraft.com/index.php?route=information/information&amp;information_id=22' target='_blank'>
			Catalogue download</a></td>
		</tr>
	</table>
</div>
","Tork Craft is our main house brand. Complimenting the whole tool industry with an extensive range of accessories to simply make your work easier and make the world go round. We focus on expanding the brand and we receive almost monthly new lines and fresh","TORK CRAFT,power tool accessories,saw blades,handtools,holesaws,drill bits,"
"TRITON","https://www.vermontsales.co.za/image/data/manufacturers/TRITON_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=168","<div class='manuf_desc_box'>
	<p>
	<img height='69' src='https://www.vermontsales.co.za/images/brands/triton_logo.png' style='float: left; margin-right: 15px; margin-bottom: 30px;' width='156' />Vermont 
	Sales is now the official distributor of Triton Power Tools. Although the name 
	needs no introduction, we can proudly say that Triton is still the best DIY 
	range of tools that offer a complete solution for woodworking. Triton has a 
	service backup warranty in place meaning that your hobby is not going to cost 
	you excessive amounts of money to maintain and enjoy. Triton tools can be seen 
	in all major hardware stores around the country.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.tritontools.com/en-US' target='_blank'>Company website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0B5R67v3yi2j5SWFXZ1JmUFNNWG8' target='_blank'>Catalogue download</a></td>
		</tr>
	</table>
</div>
","Vermont Sales is now the official distributor of Triton Power Tools. Although the name needs no introduction, we can proudly say that Triton is still the best DIY range of tools that offer a complete solution for woodworking. Triton has a service backup w","TRITON,power tools,saws,circular saw,jigsaw,cordless drill,sander,belt sander,oscillating spindle sander,"
"WEDGIT","https://www.vermontsales.co.za/image/data/manufacturers/WEDGIT_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=503","<div class='manuf_desc_box'>
	<p>
	<img alt='SawStop' height='54' src='../images/brands/wedgit_logo_products.svg' style='float: right; margin-left: 13px' width='153' />Now 
	available, Wedgit the toughest, most durable, leak-free garden hose connectors 
	and super tough Kink-Resistant Garden Hose.</p>
	<p>Wedgit has the answer to your garden hose problems - this new product range 
	is now available from all Vermont Sales customers country wide.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='https://wedgit.co/home' target='_blank'>Company 
			website</a></td>
			<td style='text-align: center'>
			<!--
		<a class='button' href='https://drive.google.com/open?id=0B5R67v3yi2j5STk5Wk1IdndDVDA'>
		Catalogue Download</a>-->&nbsp;</td>
		</tr>
	</table>
</div>
","WEDGIT","WEDGIT"
"WORX","https://www.vermontsales.co.za/image/data/manufacturers/WORX_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=539","WORX","WORX","WORX"
